Application_Reference,Certificate_Number,Commodity_Line_Reference,On_Hold_Text,IPPAFS Reasons,Commodity,AD Numbers
CHEP-PP1,123b,1,AD statements incomplete,AD invalid,Acanthus hungaricus,Part A Item 6ai
CHEP-PP1,123b,1,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",AD missing,Acanthus hungaricus,Part A Item 6ai
CHEP-PP1,123b,2,AD statements incomplete,AD invalid,Acer conspicuum,"Part A Item 6ai, Part B Item 2b"
CHEP-PP1,123b,2,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",AD missing,Acer conspicuum,"Part A Item 6ai, Part B Item 2b"
CHEP-PP1,123b,3,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",AD missing,Acer palmatum,"Part A Item 6ai, Part B Item 3b"
CHEP-PP1,234,,awfhajlwfh,Incorrect information: Consignee business address,Plant 5,
CHEP-PP1,234,,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 7,
CHEP-PP1,234,,awfhajlwfh,Incorrect information: Consignee business address,Plant 5,
CHEP-PP1,234,,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 7,
CHEP-PP1,234,5,awfhajlwfh,Incorrect information: Country of origin/dispatch,Plant 2,
CHEP-PP1,234,8,awfhajlwfh,Incorrect information: Country of origin/dispatch,Plant 2,
CHEP-PP1,576,,awfhajlwfh,Absent,Plant 1,
CHEP-PP1,576,,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Plant 4,
CHEP-PP1,576,,awfhajlwfh,Absent,Plant 1,
CHEP-PP1,576,,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Plant 4,
CHEP-PP1,576,3,awfhajlwfh,AD missing,Plant 2,
CHEP-PP1,576,3,awfhajlwfh,AD missing,Plant 2,
CHEP-PP1,576,9,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 8,
CHEP-PP1,576,9,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 8,
CHEP-PP1,8576,,awfhajlwfh,Absent,Plant 20,
CHEP-PP1,8576,,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 1,
CHEP-PP1,8576,6,awfhajlwfh,Phyto expired,Plant 2,
CHEP-PP1,8576,8,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 21,
CHEP-PP1,8890,4,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 14,
CHEP-PP1,a123,,kjfhajkhf,Incorrect information: Phytosanitary certificate number,Plant 1,
CHEP-PP1,a123,,kjfhajkhf,Incorrect information: Phytosanitary certificate number,Plant 1,
CHEP-PP1,a123,1,Reference declared on phytosanitary certificate (insert certificate no.) does not match phytosanitary certificate number (insert certificate no.) declared on CHEDPP,Incorrect information: Phytosanitary certificate number,Plant 2,
CHEP-PP1,a123,1,Reference declared on phytosanitary certificate (insert certificate no.) does not match phytosanitary certificate number (insert certificate no.) declared on CHEDPP,Incorrect information: Phytosanitary certificate number,Plant 17,
CHEP-PP1,a123,3,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Plant 1,
CHEP-PP1,a123,6,awfhajlwfh,Incorrect information: Consignor business address,Plant 4,
CHEP-PP1,a123,7,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Plant 17,
CHEP-PP1,a123,8,awfhajlwfh,Incorrect information: Consignor business address,Plant 4,
CHEP-PP1,a8576,1,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 1,
CHEP-PP1,a8576,2,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 1,
CHEP-PP1,a8576,6,awfhajlwfh,Absent,Plant 14,
CHEP-PP1,a8576,7,awfhajlwfh,Incorrect information: Commodity type incorrect,Plant 14,
CHEP-PP1,a8576,9,awfhajlwfh,Phyto expired,Plant 5,
CHEP-PP1,g987,,awfhajlwfh,Not endorsed,Plant 2,
CHEP-PP1,g987,,awfhajlwfh,Incorrect information: Net weight,Plant 15,
CHEP-PP1,g987,6,awfhajlwfh,Not endorsed,Plant 4,
CHEP-PP1,g987,56,awfhajlwfh,Incorrect information: Country of origin/dispatch,Plant 14,
CHEP-PP1,jh789a,,awfhajlwfh,AD invalid,Plant 17,
CHEP-PP1,jh789a,,awfhajlwfh,AD invalid,Plant 14,
CHEP-PP1,jh789a,3,awfhajlwfh,Incorrect information: Number of packages,Plant 1,
CHEP-PP1,jh789ab,,awfhajlwfh,AD invalid,Plant 17,
CHEP-PP1,jh789ab,,awfhajlwfh,AD invalid,Plant 18,
CHEP-PP1,jh789ab,4,awfhajlwfh,Incorrect information: Number of packages,Plant 1,
CHEP-PP1,trht757,,awfhajlwfh,Not endorsed,Plant 2,
CHEP-PP1,trht757,,awfhajlwfh,Incorrect information: Net weight,Plant 15,
CHEP-PP1,trht757,6,awfhajlwfh,Not endorsed,Plant 14,
CHEP-PP1,trht757,6,awfhajlwfh,Incorrect information: Country of origin/dispatch,Plant 14,
