,,,,,CHED REVIEW,,,,,CERTIFICATE REVIEW,,,,,COMMODITY,,,,,FINALISED,
IPPAFS Reasons,Commodity,Certificate_Number,Hold level,Priority order,IPPAFS Reasons,Commodity,Certificate_Number,Hold level,Priority order,IPPAFS Reasons,Commodity,Certificate_Number,Hold level,Priority order,IPPAFS Reasons,Commodity,Certificate_Number,Hold level,Priority order,IPPAFS Reasons,Commodity
AD invalid,Acanthus hungaricus,123b,Commodity,5,AD invalid,Acanthus hungaricus,123b,Commodity,5,AD invalid,Acanthus hungaricus,123b,Commodity,5,AD missing,Acanthus hungaricus,123b,Commodity,4,AD missing,Acanthus hungaricus
AD missing,Acanthus hungaricus,123b,Commodity,4,AD missing,Acanthus hungaricus,123b,Commodity,4,AD missing,Acanthus hungaricus,123b,Commodity,4,AD missing,Acanthus hungaricus,123b,Commodity,4,AD missing,Acer conspicuum
AD invalid,Acer conspicuum,123b,Commodity,5,AD invalid,Acer conspicuum,123b,Commodity,5,AD invalid,Acer conspicuum,123b,Commodity,5,AD missing,Acer conspicuum,123b,Commodity,4,AD missing,Acer palmatum
AD missing,Acer conspicuum,123b,Commodity,4,AD missing,Acer conspicuum,123b,Commodity,4,AD missing,Acer conspicuum,123b,Commodity,4,AD missing,Acer conspicuum,123b,Commodity,4,Absent,Plant 5
AD missing,Acer palmatum,123b,Commodity,4,AD missing,Acer palmatum,123b,Commodity,4,AD missing,Acer palmatum,123b,Commodity,4,AD missing,Acer palmatum,123b,Commodity,4,Incorrect information: Phytosanitary certificate number,Plant 7
Incorrect information: Consignee business address,Plant 5,234,Certificate,11,Incorrect information: Phytosanitary certificate number,Plant 5,234,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 5,234,CHED,6,Absent,Plant 5,234,Certificate,1,Absent,Plant 2
Incorrect information: Commodity type incorrect,Plant 7,234,Commodity,10,Incorrect information: Phytosanitary certificate number,Plant 7,234,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 7,234,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 7,234,CHED,6,Absent,Plant 1
Incorrect information: Country of origin/dispatch,Plant 2,234,Certificate,9,Incorrect information: Phytosanitary certificate number,Plant 2,234,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 2,234,CHED,6,Absent,Plant 2,234,Certificate,1,Absent,Plant 4
Absent,Plant 1,576,Certificate,1,Absent,Plant 1,576,Certificate,1,Absent,Plant 1,576,Certificate,1,Absent,Plant 1,576,Certificate,1,Absent,Plant 8
