IPPAFS Reasons,Commodity,Certificate_Number,Hold level,Priority order
AD invalid,Acanthus hungaricus,123b,Commodity,5
AD missing,Acanthus hungaricus,123b,Commodity,4
AD invalid,Acer conspicuum,123b,Commodity,5
AD missing,Acer conspicuum,123b,Commodity,4
AD missing,Acer palmatum,123b,Commodity,4
Incorrect information: Phytosanitary certificate number,Plant 5,234,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 7,234,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 2,234,CHED,6
Absent,Plant 1,576,Certificate,1
Incorrect information: Phytosanitary certificate number,Plant 4,576,CHED,6
AD missing,Plant 2,576,Commodity,4
Incorrect information: Phytosanitary certificate number,Plant 8,576,CHED,6
Absent,Plant 20,8576,Certificate,1
Incorrect information: Phytosanitary certificate number,Plant 1,8576,CHED,6
Phyto expired,Plant 2,8576,Certificate,3
Incorrect information: Phytosanitary certificate number,Plant 21,8576,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 14,8890,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 2,a123,Certificate,6
Incorrect information: Phytosanitary certificate number,Plant 17,a123,Certificate,6
Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 4,a123,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 17,a123,CHED,6
Incorrect information: Phytosanitary certificate number,Plant 1,a8576,CHED,6
Absent,Plant 14,a8576,Certificate,1
Incorrect information: Phytosanitary certificate number,Plant 14,a8576,CHED,6
Phyto expired,Plant 5,a8576,Certificate,3
Not endorsed,Plant 2,g987,Certificate,2
Incorrect information: Phytosanitary certificate number,Plant 15,g987,CHED,6
Not endorsed,Plant 4,g987,Certificate,2
Incorrect information: Phytosanitary certificate number,Plant 14,g987,CHED,6
AD invalid,Plant 17,jh789a,Commodity,5
AD invalid,Plant 14,jh789a,Commodity,5
Incorrect information: Phytosanitary certificate number,Plant 1,jh789a,CHED,6
AD invalid,Plant 17,jh789ab,Commodity,5
AD invalid,Plant 18,jh789ab,Commodity,5
Incorrect information: Phytosanitary certificate number,Plant 1,jh789ab,CHED,6
Not endorsed,Plant 2,trht757,Certificate,2
Incorrect information: Phytosanitary certificate number,Plant 15,trht757,CHED,6
Not endorsed,Plant 14,trht757,Certificate,2
Incorrect information: Phytosanitary certificate number,Plant 14,trht757,CHED,6
