Application_Reference,Certificate_Number,Commodity_Line_Reference,On_Hold_Text,IPAFFS_Reason,Commodity_Name,AD Numbers
CHEP-PP1,123b,4,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",Incorrect information: Commodity type incorrect,Pyrus sp.,"Part A Item 6ai, Part B Item 2b"
CHEP-PP1,123b,5,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",Absent,Calluna vulgaris,"Part A Item 6ai, Part B Item 3b"
CHEP-PP1,123b,5,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",Incorrect information: Commodity type incorrect,Raoulia hybrids,"Part A Item 6ai, Part B Item 3b"
CHEP-PP1,123b,6,awfhajlwfh,Absent,Calocephalus sp.,
CHEP-PP1,123b,8,awfhajlwfh,Incorrect information: Consignee business address,Sagina sp.,
CHEP-PP1,123b,10,awfhajlwfh,Incorrect information: Country of origin/dispatch,Salvia greggii,
CHEP-PP1,123b,18,awfhajlwfh,AD missing,Heuchera sp.,
CHEP-PP1,123b,22,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Veronica longifolia,
CHEP-PP1,123b,25,kjfhajkhf,Incorrect information: Phytosanitary certificate number,,
CHEP-PP1,123b,26,kjfhajkhf,Incorrect information: Phytosanitary certificate number,,
CHEP-PP1,234,2,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",Incorrect information: Commodity type incorrect,Prunus x hybrida,Part A Item 6ai
CHEP-PP1,234,9,awfhajlwfh,Incorrect information: Consignee business address,Sagina subulata,
CHEP-PP1,234,11,awfhajlwfh,AD missing,Euonymus bungeanus,
CHEP-PP1,234,13,awfhajlwfh,Incorrect information: Country of origin/dispatch,Scleranthus sp.,
CHEP-PP1,234,14,awfhajlwfh,AD missing,Euphorbia sp.,
CHEP-PP1,234,16,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Sempervivum grandiflorum,
CHEP-PP1,234,17,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Sempervivum sp.,
CHEP-PP1,234,21,awfhajlwfh,Incorrect information: Commodity type incorrect,Leucophyta brownii,
CHEP-PP1,234,25,kjfhajkhf,Incorrect information: Commodity type incorrect,Photinia sp.,
CHEP-PP1,234,27,Reference declared on phytosanitary certificate (insert certificate no.) does not match phytosanitary certificate number (insert certificate no.) declared on CHEDPP,Incorrect information: Commodity type incorrect,Picea sp.,
CHEP-PP1,234,28,Reference declared on phytosanitary certificate (insert certificate no.) does not match phytosanitary certificate number (insert certificate no.) declared on CHEDPP,Phyto expired,,
CHEP-PP1,234,29,awfhajlwfh,Incorrect information: Commodity type incorrect,Prunus domestica,
CHEP-PP1,576,2,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",Absent,Ajuga sp.,Part A Item 6ai
CHEP-PP1,576,3,AD statements incomplete,Absent,Albuca bracteata,"Part A Item 6ai, Part B Item 2b"
CHEP-PP1,576,7,awfhajlwfh,AD invalid,Carex oshimensis,
CHEP-PP1,576,8,awfhajlwfh,AD invalid,Carex sp.,
CHEP-PP1,576,10,awfhajlwfh,AD invalid,Curio radicans,
CHEP-PP1,576,12,awfhajlwfh,AD missing,Euonymus sp.,
CHEP-PP1,576,12,awfhajlwfh,Incorrect information: Country of origin/dispatch,Scleranthus annuus,
CHEP-PP1,576,13,awfhajlwfh,AD missing,Euphorbia lactea,
CHEP-PP1,576,15,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Sedum sp.,
CHEP-PP1,576,16,awfhajlwfh,AD missing,Gaultheria trichophylla,
CHEP-PP1,576,17,awfhajlwfh,AD missing,Heuchera americana,
CHEP-PP1,576,19,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Skimmia japonica,
CHEP-PP1,576,23,awfhajlwfh,Incorrect information: Commodity type incorrect,Malus sp.,
CHEP-PP1,576,27,Reference declared on phytosanitary certificate (insert certificate no.) does not match phytosanitary certificate number (insert certificate no.) declared on CHEDPP,Incorrect information: Phytosanitary certificate number,,
CHEP-PP1,576,28,Reference declared on phytosanitary certificate (insert certificate no.) does not match phytosanitary certificate number (insert certificate no.) declared on CHEDPP,Incorrect information: Commodity type incorrect,Prunus arborea,
CHEP-PP1,576,29,awfhajlwfh,Phyto expired,,
CHEP-PP1,8576,3,AD statements incomplete,Incorrect information: Commodity type incorrect,Pyrus communis,"Part A Item 6ai, Part B Item 2b"
CHEP-PP1,8576,7,awfhajlwfh,Incorrect information: Consignee business address,Rhododendron obtusum,
